SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
9241,HHU4212-%_POP-ISCED56-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED56 - FEMALE,% of individuals,ITU Households Database,2023,Portugal,PRT,Gender,Tertiary education,Female,98.68817351933258,,Instituto Nacional de Estatistica,2026-07-07
9242,HHU4212-%_POP-ISCED56-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED56 - MALE,% of individuals,ITU Households Database,2023,Portugal,PRT,Gender,Tertiary education,Male,98.92360840725193,,Instituto Nacional de Estatistica,2026-07-07
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2023,Portugal,PRT,Location,Children,Rural,98.68972576908571,,Instituto Nacional de Estatistica,2026-07-06
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2023,Portugal,PRT,Location,Children,Urban,98.42188790742473,,Instituto Nacional de Estatistica,2026-07-05
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2023,Portugal,PRT,Family,No Children,,87.24522331633123,,Instituto Nacional de Estatistica,2026-07-05
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2023,Portugal,PRT,Location,No Children,Rural,83.55751128450564,,Instituto Nacional de Estatistica,2026-07-05
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2023,Portugal,PRT,Location,No Children,Urban,91.86861921696249,,Instituto Nacional de Estatistica,2026-07-05
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2023,Portugal,PRT,Location,Urban,,93.0182191188611,,Instituto Nacional de Estatistica,2025-07-04
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2023,Portugal,PRT,Location,Rural,,85.66634030897863,,Instituto Nacional de Estatistica,2026-07-06
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2023,Singapore,SGP,,,,98.46030124,,Infocomm Media Development Authority,2026-02-02
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2023,Singapore,SGP,Family,Children,,99.89076720975581,,Infocomm Media Development Authority,2026-07-06
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2023,Singapore,SGP,Family,No Children,,97.88201871704723,,Infocomm Media Development Authority,2026-07-05
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2023,Tanzania,TZA,,,,44.47761521,,ITU estimate.,2026-02-02
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2023,United States,USA,,,,94.77199755,,US Census Bureau,2026-02-02
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2023,United States,USA,Location,Rural,,91.52962383270675,,US Census Bureau,2026-07-06
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2023,United States,USA,Location,Urban,,95.58667471556414,,US Census Bureau,2026-07-05
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2022,France,FRA,Location,Urban,,88.08285594235574,,Institut National de la Statistique et des Etudes Economiques,2026-07-05
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2022,France,FRA,Location,Rural,,84.00420248501514,,Institut National de la Statistique et des Etudes Economiques,2026-07-06
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2022,France,FRA,,,,87.25190554,,Institut National de la Statistique et des Etudes Economiques,2026-02-02
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2022,France,FRA,Location,Children,Urban,97.78045243185862,,Institut National de la Statistique et des Etudes Economiques,2026-07-05
9242,HHU4212-%_POP-ISCED56-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED56 - MALE,% of individuals,ITU Households Database,2022,France,FRA,Gender,Tertiary education,Male,96.77415392819304,,Institut National de la Statistique et des Etudes Economiques,2026-07-07
